,id,Nome jogador,Time na época,primary_position,market_value,competição,Time,Posição,Value,Custo,Wage,Idade
774,329683,Marcos Ytalo Benicio da Silva,Ceará,Lateral direito,125000,Brasileiro A,Ceará Sporting Club,D/WB/M/AM,£49k,£32k,£625,24
775,-128665,Rafael Luiz Santos da Costa,Red Bull Bragantino,Lateral direito,50000,Brasileiro A,Associação Ferroviária de Esportes,D/WB/M/AM,£27k,£43k,£772,18
776,318891,Carlos Henrique Alves Pereira,Cascavel,Atacante,400000,Brasileiro D,Londrina Esporte Clube,ST,£29k,£35k,£772,25
777,50103,Ederson Alves Ribeiro Silva,ABC,Atacante,350000,Brasileiro D,Fortaleza Esporte Clube,"AM , ST",£360k,£259k,£5k,31
778,97059,Hugo Guimaraes Silva Santos Almeida,Gama,Atacante,300000,Brasileiro D,Esporte Clube São Luiz,ST,£1k,£2k,£357,34
779,82885,Raimundo Jose Cutrim Martins,Guarany de Sobral,Atacante,300000,Brasileiro D,Moto Club de São Luís,D/WB/M/AM,£2k,£300m,£291,33
780,75649,David Henrique de Oliveira Batista,Marcílio Dias,Atacante,150000,Brasileiro D,Clube Náutico Marcílio Dias,ST,£12k,£21k,£428,31
781,433490,Gabriel Rodrigues da Silva,Inter de Limeira,Atacante,100000,Brasileiro D,São Paulo Futebol Clube,D,£405,£34k,£30,18
782,474661,Gleyson Garcia de Oliveira,Ferroviária,Atacante,50000,Brasileiro D,Associação Ferroviária de Esportes,ST,£215,£0,£33,23
783,-49773,Flavio Henrique Alves Almeida Souza,Juventus Jaraguá,Atacante,50000,Brasileiro D,Esporte Clube Vitória,AM,£1k,£38k,£90,22
784,74324,Laercio Jose Aguiar Cavalheiro Junior,Rio Branco ES,Atacante,0,Brasileiro D,Aquidauanense Futebol Clube,"M , AM",£2k,£300m,£144,32
785,327110,Vinicius Guirra Miller de Oliveira,Bangu,Atacante,0,Brasileiro D,Bangu Atlético Clube,AM,£225,£0,£50,29
786,395463,Arielton Silva dos Santos,-,Atacante,0,Brasileiro D,Nacional Fast Clube,ST,£8k,£14k,£291,29
787,9453,Jose Eduardo Bischofe de Almeida,Brasiliense,Atacante,0,Brasileiro D,Brasiliense Futebol Clube,"AM , ST",£80k,£300m,£2k,32
788,434312,Sebastiao da Silva Nascimento,Juventude MA,Atacante,0,Brasileiro D,Sociedade Esportiva Juventude,DM,£214,£0,£25,25
789,-114240,Rafael dos Santos Carvalheira Natividade,Cianorte,Atacante,0,Brasileiro D,Ceará Sporting Club,M/AM,£215,£0,£24,21
790,122386,Arlisson Sousa Cardoso,Fast Clube,Atacante,0,Brasileiro D,Nacional Futebol Clube-AM,M/AM,£224,£300m,£129,36
791,182872,Cristeanderson Andrade Bastos,-,Atacante,0,Brasileiro D,Bragantino Clube do Pará,ST,£2k,£300m,£144,32
792,-70539,Guilherme Mendes Ribeiro,Inter de Limeira,Atacante,0,Brasileiro D,Cruzeiro Esporte Clube,ST,£11k,£20k,£231,19
793,333910,Igor Ruan Sousa dos Santos,Murici,Atacante,0,Brasileiro D,Jacyobá Atlético Clube,ST,£225,£0,£33,27
794,-191459,Miller Chaves Dias,Atlético Alagoinhas,Atacante,0,Brasileiro D,Alagoinhas Atlético Clube,AM,£225,£0,£33,27
795,70799,Robert Mendes da Silva,Atlético Alagoinhas,Atacante,0,Brasileiro D,Alagoinhas Atlético Clube,ST,£598,£300m,£218,35
796,77097,Jefferson Bruno Ferreira dos Santos,Bahia de Feira,Atacante,0,Brasileiro D,Associação Desportiva Bahia de Feira,"M , AM",£24k,£23k,£904,30
797,113048,Jose Aldean Oliveira de Jesus,Bahia de Feira,Atacante,0,Brasileiro D,Associação Desportiva Bahia de Feira,ST,£193,£0,£93,33
798,-218654,Adenilson Cordeiro dos Santos Junior,Bangu,Atacante,0,Brasileiro D,Bangu Atlético Clube,M/AM,£225,£0,£30,19
799,139074,Jheimy da Silva Carvalho,Tocantinópolis,Atacante,0,Brasileiro D,Tocantinópolis Esporte Clube,ST,£15k,£300m,£582,31
800,447621,Everson da Silva Santana,Tocantinópolis,Atacante,0,Brasileiro D,Nacional Futebol Clube-AM,AM,£203,£0,£51,30
801,137111,Diogo Ribeiro de Oliveira,Caxias,Atacante,0,Brasileiro D,Sociedade Esportiva e Recreativa Caxias do Sul,M/AM,£4k,£300m,£948,38
802,285107,Matheus dos Santos Batista,Esportivo,Atacante,0,Brasileiro D,Clube Náutico Marcílio Dias,ST,£18k,£9k,£553,25
803,428488,Felipe Tontini da Silveira,Caxias,Atacante,0,Brasileiro D,Sociedade Esportiva e Recreativa Caxias do Sul,"M , AM",£29k,£26k,£772,25
804,475395,Marcelo Sales Barreto da Silva,Campinense,Atacante,0,Brasileiro D,Campinense Clube,AM,£4k,£12k,£203,22
805,-51330,Lucas Henrique dos Santos,União Rondonópolis,Atacante,0,Brasileiro D,Joinville Esporte Clube,M/AM,£23k,£20k,£684,26
806,-173079,Flavio da Silva Cabral,Gama,Atacante,0,Brasileiro D,Paysandu Sport Club,ST,£225,£9k,£42,18
807,178817,Rafael Teixeira de Souza,Palmas,Atacante,0,Brasileiro D,Palmas Futebol e Regatas,ST,£14k,£28k,£372,28
808,471677,Marcus Vinicius Silva Neves,Rio Branco ES,Atacante,0,Brasileiro D,Independente Atlético Clube,ST,£225,£0,£24,28
809,124942,Railson Barreto Queiroz,Peñarol,Atacante,0,Brasileiro D,Independente Atlético Clube,M/AM,£225,£0,£33,28
810,177585,Jefferson Aparecido de Araujo Siqueira,Peñarol,Atacante,0,Brasileiro D,Moto Club de São Luís,ST,£5k,£300m,£246,31
811,78879,Marllon dos Santos Pereira,Juventus Jaraguá,Atacante,0,Brasileiro D,Figueirense Futebol Clube,"M , AM",£8k,£11k,£291,29
812,-98991,Felipe Ferreira da Cruz,Moto Club MA,Atacante,0,Brasileiro D,Moto Club de São Luís,ST,£225,£0,£30,20
813,74306,Flavio de Souza Boaventura,América RN,Zagueiro,475000,Brasileiro D,América Futebol Clube-RN,D,£16k,£300m,£948,33
814,115659,Guilherme Cruz de Mattis,Ferroviária,Zagueiro,325000,Brasileiro D,Sociedade Esportiva e Recreativa Caxias do Sul,D,£39k,£69k,£948,29
815,416556,Rafael Dumas Ribeiro,Esportivo,Zagueiro,300000,Brasileiro D,Associação Atlética Portuguesa-RJ,D,£22k,£40k,£904,25
816,133975,Wallace Santos Acioli,Marcílio Dias,Zagueiro,200000,Brasileiro D,Clube Náutico Marcílio Dias,D,£8k,£7k,£280,29
817,414831,Wendel Lomar da Cruz,Gama,Zagueiro,100000,Brasileiro D,Esporte Clube Pelotas,D,£6k,£5k,£268,24
818,323828,Mauricio de Oliveira Moraes,Juventus Jaraguá,Zagueiro,100000,Brasileiro D,Esporte Clube Pelotas,"D , DM",£3k,£3k,£180,26
819,67274,Diego da Silva Giaretta,Cascavel,Zagueiro,50000,Brasileiro D,Futebol Clube Cascavel,"D , DM",£6k,£300m,£1k,36
820,120586,Jaime Cardoso Pinto da Silva,Rio Branco ES,Zagueiro,0,Brasileiro D,Aquidauanense Futebol Clube,"D , DM",£0,£0,£43,34
821,327047,Jobert de Melo Faria Junior,-,Zagueiro,0,Brasileiro D,Associação Desportiva Cabofriense,D,£120,£0,£31,27
822,432376,Joao Marcus Felix de Lima,Caucaia,Zagueiro,0,Brasileiro D,Esporte Clube São Luiz,"D , DM",£7k,£11k,£275,28
823,-33723,Jaques Bonfim Nazare Neto,Joinville,Zagueiro,0,Brasileiro D,Joinville Esporte Clube,D,£3k,£13k,£180,22
824,226853,Vinicius das Gracas Leandro,-,Zagueiro,0,Brasileiro D,ABC Futebol Clube,D,£183,£0,£71,30
825,301973,Heliton Jorge Tito dos Santos,ABC,Zagueiro,0,Brasileiro D,ABC Futebol Clube,D,£26k,£45k,£772,24
826,120614,Fagner Bezerra Carvalho,Porto Velho,Zagueiro,0,Brasileiro D,Independente Atlético Clube,"WB , M",£153,£0,£24,31
827,136450,Luiz Carlos da Silva Gomes,Brasiliense,Zagueiro,0,Brasileiro D,Brasiliense Futebol Clube,D,£10k,£8k,£509,31
828,281405,Alberto dos Santos Dias,Juventude MA,Zagueiro,0,Brasileiro D,Sociedade Esportiva Juventude,D,£3k,£6k,£144,28
829,336469,Leonardo Rigo da Silva,Ferroviária,Zagueiro,0,Brasileiro D,Operário Ferroviário Esporte Clube,D,£15k,£21k,£305,25
830,112234,Willian da Silva Gomes dos Santos,Cascavel,Zagueiro,0,Brasileiro D,Futebol Clube Cascavel,"D , WB",£154,£0,£44,31
831,251898,Stephannyo Afonso Lopes de Oliveira,Cascavel,Zagueiro,0,Brasileiro D,Futebol Clube Cascavel,D,£203,£0,£60,26
832,402895,Lucas Oliveira dos Santos,Cascavel,Zagueiro,0,Brasileiro D,Futebol Clube Cascavel,D,£203,£0,£60,26
833,-114262,Eduardo Vinicius Domachowski,Cianorte,Zagueiro,0,Brasileiro D,Futebol Clube Cascavel,D,£203,£0,£58,21
834,228085,Marcelo Felber de Aguiar,Galvez,Zagueiro,0,Brasileiro D,Galvez Esporte Clube,D,£130,£0,£25,31
835,234505,Felipe Oliveira Marcelino,Fast Clube,Zagueiro,0,Brasileiro D,Associação Atlética Aparecidense,D,£183,£0,£63,30
836,-71926,Paulo Selson Gomes da Silva,São Raimundo RR,Zagueiro,0,Brasileiro D,São Raimundo Esporte Clube-RR,D,£203,£0,£24,24
837,250746,Thiago Brandao Barra,GAS,Zagueiro,0,Brasileiro D,Sampaio Corrêa Futebol Clube,D,£0,£0,£25,34
838,9073,Marlon Ventura Rodrigues,Treze,Zagueiro,0,Brasileiro D,Treze Futebol Clube,D,£6k,£300m,£547,33
839,395945,Gabriel Roberto Cividini Moreira,Treze,Zagueiro,0,Brasileiro D,Bangu Atlético Clube,D,£449,£0,£93,25
840,398833,Nalberth Mamede Coelho,Juventude MA,Zagueiro,0,Brasileiro D,Sociedade Esportiva Juventude,D,£203,£0,£25,26
841,282636,Leandro dos Santos Candido,-,Zagueiro,0,Brasileiro D,Salgueiro Atlético Clube,D,£4k,£2k,£203,29
842,119011,Diego Andrade Silva Bispo,Itabaiana,Zagueiro,0,Brasileiro D,Associação Olímpica de Itabaiana,D,£4k,£300m,£268,31
843,131588,Hugo Teixeira Santos,Itabaiana,Zagueiro,0,Brasileiro D,Associação Olímpica de Itabaiana,D,£141,£0,£31,31
844,-111791,Rafael Esculapio Pereira da Silva,Bangu,Zagueiro,0,Brasileiro D,Grêmio Foot-Ball Porto Alegrense,D,£1k,£0,£91,20
845,-73718,Tiago de Santana da Silva,Bahia de Feira,Zagueiro,0,Brasileiro D,Esporte Clube Primeiro Passo Vitória da Conquista,AM,£225,£2k,£54,22
846,-71312,Johnatan Lucas da Silva Vital,Bahia de Feira,Zagueiro,0,Brasileiro D,Treze Futebol Clube,D,£203,£0,£25,20
847,-71182,Ricardo Santana Silva,Bahia de Feira,Zagueiro,0,Brasileiro D,Associação Desportiva Bahia de Feira,M/AM,£225,£0,£31,21
848,104537,Paulo Roberto Timoso dos Santos,Bahia de Feira,Zagueiro,0,Brasileiro D,Associação Desportiva Bahia de Feira,D,£3k,£2k,£509,33
849,-29247,Keynan Lopes Gomes Silva,Brasiliense,Zagueiro,0,Brasileiro D,Brasiliense Futebol Clube,D,£203,£0,£71,24
850,198444,Gustavo Henrique Gomes de Sousa,Brasiliense,Zagueiro,0,Brasileiro D,Brasiliense Futebol Clube,D,£7k,£6k,£291,29
851,-206648,Leonardo Pinto Amaral,Tocantinópolis,Zagueiro,0,Brasileiro D,Tocantinópolis Esporte Clube,D,£203,£0,£43,22
852,396428,Geovane Alves de Almeida,Tocantinópolis,Zagueiro,0,Brasileiro D,Tocantinópolis Esporte Clube,"D , DM",£214,£0,£54,27
853,64356,Thiago Guimaraes Sales,Caxias,Zagueiro,0,Brasileiro D,Sociedade Esportiva e Recreativa Caxias do Sul,D,£9k,£8k,£772,33
854,433484,Junior Henrique Eichelberger,Caxias,Zagueiro,0,Brasileiro D,Sociedade Esportiva e Recreativa Caxias do Sul,D,£5k,£5k,£246,24
855,-43122,Michel Bennech Vercino,Campinense,Zagueiro,0,Brasileiro D,Sociedade Esportiva do Gama,D,£203,£0,£31,21
856,-111110,Gabriel Barbosa Pinheiro,Boa,Zagueiro,0,Brasileiro D,Boa Esporte Clube,D,£203,£0,£50,23
857,114380,Wesley Ladeira Matos,Aparecidense,Zagueiro,0,Brasileiro D,Associação Atlética Aparecidense,D,£9k,£300m,£1k,34
858,125630,Rafael Mattos dos Santos,Aparecidense,Zagueiro,0,Brasileiro D,Esporte Clube São Luiz,D,£23k,£41k,£731,30
859,449912,Vinicius Machado da Silva,Gama,Zagueiro,0,Brasileiro D,Sociedade Esportiva do Gama,D,£16k,£31k,£553,24
860,72256,Pierre Veiga Sodre,Palmas,Zagueiro,0,Brasileiro D,Palmas Futebol e Regatas,"D , DM",£806,£300m,£109,33
861,262138,Alexandre Henrique Guimaraes Vieira,Guarany de Sobral,Zagueiro,0,Brasileiro D,Guarany Sporting Club,"D , DM",£3k,£5k,£150,26
862,327624,Carlos Alexandre Silva Santos,Retrô,Zagueiro,0,Brasileiro D,Associação Desportiva São Caetano,D,£5k,£4k,£291,26
863,449705,Fellipe Ferreira Nascimento,São Bento,Zagueiro,0,Brasileiro D,Ituano Futebol Clube,"D , DM",£5k,£5k,£164,22
864,177175,Gabriel Francisco Macedo Neto,Rio Branco ES,Zagueiro,0,Brasileiro D,Vitória Futebol Clube-ES,D,£12k,£29k,£407,30
865,170363,Francisco Anderson da Silva Nascimento,Goianésia,Zagueiro,0,Brasileiro D,Goianésia Esporte Clube,D,£203,£0,£54,28
866,226697,Willames Jose da Silva,Central,Zagueiro,0,Brasileiro D,Jacyobá Atlético Clube,D,£5k,£9k,£197,30
867,473088,Eduardo Favero,Central,Zagueiro,0,Brasileiro D,Central Sport Club,D,£203,£0,£29,26
868,-203566,Elielson Cardoso dos Santos,Atlético Acreano,Zagueiro,0,Brasileiro D,Atlético Acreano,D,£203,£4k,£35,19
869,-70760,Gustavo dos Santos Silva Medina,Ferroviária,Zagueiro,0,Brasileiro D,Cruzeiro Esporte Clube,D,£203,£5k,£31,19
870,184252,Rodolfo Manoel Araujo da Silva,Caldense,Zagueiro,0,Brasileiro D,Goianésia Esporte Clube,"D , DM",£594,£0,£80,30
871,428408,Joao Pedro Marques Cardozo,Caldense,Zagueiro,0,Brasileiro D,Associação Atlética Caldense,D,£3k,£6k,£180,24
872,444789,Bruno Leonardo dos Santos Covas,Ferroviária,Zagueiro,0,Brasileiro D,Esporte Clube São Bento-SP,D,£12k,£7k,£337,24
873,-70759,Luan Gabriel Rodrigues,Marcílio Dias,Zagueiro,0,Brasileiro D,Clube Náutico Marcílio Dias,D,£3k,£5k,£152,20
874,120028,Romario Sousa Martins,Imperatriz,Zagueiro,0,Brasileiro D,Bragantino Clube do Pará,D,£2k,£2k,£127,30
875,329489,Wanderson Camelo Viana,Moto Club MA,Zagueiro,0,Brasileiro D,Moto Club de São Luís,D,£1k,£2k,£115,25
876,174515,Wilian Simoes,Cascavel,Lateral Esquerdo,175000,Brasileiro D,Futebol Clube Cascavel,D/WB,£13k,£300m,£747,32
877,394546,Mateus Muller de Souza Lopes,-,Lateral Esquerdo,50000,Brasileiro D,Boa Esporte Clube,D/WB,£18k,£32k,£513,24
878,-50766,Gabriel Martins Rodrigues,Aparecidense,Lateral Esquerdo,50000,Brasileiro D,Goiás Esporte Clube,D/WB,£2k,£97k,£92,20
879,447612,Mario Henrique Gomes de Moura,Brasiliense,Lateral Esquerdo,0,Brasileiro D,Brasiliense Futebol Clube,D/WB,£12k,£20k,£465,26
880,-70251,Gabriel Henrique Silva Ferreira,Rio Branco ES,Lateral Esquerdo,0,Brasileiro D,Aquidauanense Futebol Clube,D/WB,£191,£0,£30,21
881,-79035,Joao Gabriel Ferreira Macario Dias,Gama,Lateral Esquerdo,0,Brasileiro D,América Futebol Clube-MG,"DM, M",£5k,£28k,£180,20
882,225833,Alessandro Silva de Araujo,América RN,Lateral Esquerdo,0,Brasileiro D,Santa Cruz Futebol Clube,D/WB/M,£2k,£2k,£641,34
883,322386,Paulo Claudino Teodoro de Oliveira Junior,Itabaiana,Lateral Esquerdo,0,Brasileiro D,Associação Olímpica de Itabaiana,D/WB,£214,£0,£67,26
884,433550,Renan Santos de Castro,Joinville,Lateral Esquerdo,0,Brasileiro D,Joinville Esporte Clube,D/WB,£3k,£2k,£159,24
885,-203608,Bruce Osvaldo Antonio,Treze,Lateral Esquerdo,0,Brasileiro D,Treze Futebol Clube,D/WB,£3k,£5k,£127,22
886,79901,Marcos Antonio Nascimento Santos,ABC,Lateral Esquerdo,0,Brasileiro D,ABC Futebol Clube,"DM, M , AM",£13k,£23k,£684,32
887,-73258,Fernando Pereira Severo,América RN,Lateral Esquerdo,0,Brasileiro D,América Futebol Clube-RN,D,£191,£0,£31,25
888,472939,Marcio Vinicius Castro Pinheiro,-,Lateral Esquerdo,0,Brasileiro D,Sociedade Imperatriz de Desportos,D/WB,£191,£0,£25,21
889,113073,Tiago Oliveira Santos,Atlético Acreano,Lateral Esquerdo,0,Brasileiro D,Atlético Acreano,D/WB/M,£172,£0,£58,30
890,409769,Giovani dos Santos Batista Pereira,Galvez,Lateral Esquerdo,0,Brasileiro D,Galvez Esporte Clube,D/WB,£191,£0,£25,24
891,-171886,Vanderson Bruno Maia da Silva,São Raimundo RR,Lateral Esquerdo,0,Brasileiro D,São Raimundo Esporte Clube-RR,D/WB,£191,£0,£30,29
892,250073,Tessio Lucas Ferreira Caja,Itabaiana,Lateral Esquerdo,0,Brasileiro D,Associação Olímpica de Itabaiana,"D/WB , M , AM",£3k,£4k,£159,27
893,173961,Bruno Re Sentoma,Caxias,Lateral Esquerdo,0,Brasileiro D,Sociedade Esportiva e Recreativa Caxias do Sul,D/WB,£16k,£13k,£641,30
894,474640,Leonardo Barbosa Griggio,Joinville,Lateral Esquerdo,0,Brasileiro D,Clube Atlético Mineiro,D,£11k,£8k,£242,21
895,20244,Alex dos Santos Cazumba,Bahia de Feira,Lateral Esquerdo,0,Brasileiro D,Associação Desportiva Bahia de Feira,D/WB/M,£7k,£6k,£553,32
896,72745,Radamezio Goncalves Lima,-,Lateral Esquerdo,0,Brasileiro D,Alagoinhas Atlético Clube,D/WB/M/AM,£1k,£300m,£256,34
897,72773,Edson de Oliveira Souza,Atlético Alagoinhas,Lateral Esquerdo,0,Brasileiro D,Alagoinhas Atlético Clube,D/WB,£2k,£300m,£179,32
898,396218,Pedro Henrique Peixoto Silva,-,Lateral Esquerdo,0,Brasileiro D,Brasiliense Futebol Clube,D/WB,£191,£0,£63,29
899,-72690,Samuel Conceicao Toscas,Patrocinense,Lateral Esquerdo,0,Brasileiro D,Clube Atlético Mineiro,D/WB/M,£1k,£0,£91,20
900,433184,Gabriel Moreira Braga,Gama,Lateral Esquerdo,0,Brasileiro D,Esporte Clube Pelotas,"D , WB",£6k,£8k,£268,22
901,228699,Raphael Soares de Lima,Goianésia,Lateral Esquerdo,0,Brasileiro D,Associação Atlética Aparecidense,D/WB,£6k,£5k,£254,28
902,-209823,Guilherme Henrique Usberti,Caldense,Lateral Esquerdo,0,Brasileiro D,Associação Atlética Caldense,ST,£225,£0,£31,20
903,-112908,Fernando Augusto Pereira Bueno Junior,Marcílio Dias,Lateral Esquerdo,0,Brasileiro D,Clube Náutico Marcílio Dias,"D/WB , DM",£382,£55k,£67,20
904,-50545,Victor Wesley dos Santos da Silva,Ferroviária,Extremo,200000,Brasileiro D,Atlético Clube Goianiense,AM,£95k,£110k,£793,22
905,138110,Cleiton Cortes de Souza,Moto Club MA,Extremo,125000,Brasileiro D,Moto Club de São Luís,AM,£7k,£13k,£291,30
906,-50629,Gustavo Custodio dos Santos,Retrô,Extremo,100000,Brasileiro D,Esporte Clube Bahia,AM,£32k,£78k,£426,23
907,326582,Elenilson Ferreira Garcia,Palmas,Extremo,75000,Brasileiro D,Palmas Futebol e Regatas,"M , AM , ST",£225,£0,£57,28
908,-73354,Gabriel Honorio Ramos,Rio Branco PR,Extremo,50000,Brasileiro D,Sampaio Corrêa Futebol Clube,"M , AM",£9k,£11k,£321,24
909,477159,Igor Paim Sganderla,Gama,Extremo,50000,Brasileiro D,Sociedade Esportiva do Gama,AM,£225,£15k,£71,22
910,-71044,Pedro Henrique Marinho Maria,Aparecidense,Extremo,25000,Brasileiro D,Goiás Esporte Clube,AM,£4k,£52k,£180,20
911,-112338,Bruno Chaves de Jesus,Rio Branco ES,Extremo,0,Brasileiro D,Aquidauanense Futebol Clube,M,£214,£0,£25,19
912,-199370,Wellison Matheus Rodrigues Regis,Campinense,Extremo,0,Brasileiro D,Campinense Clube,"AM , ST",£4k,£76k,£203,20
913,180728,Jefferson Viana Correa,-,Extremo,0,Brasileiro D,Brasiliense Futebol Clube,AM,£34k,£300m,£948,31
914,237847,Franklin Rocha Gesteira,Marcílio Dias,Extremo,0,Brasileiro D,Goianésia Esporte Clube,"AM , ST",£1k,£2k,£99,27
915,-70847,Tiago Cunha Rodrigues Serra,Atlético Cearense,Extremo,0,Brasileiro D,Ceará Sporting Club,ST,£3k,£484k,£93,20
916,-112424,Giovanni Lucas Ribeiro de Melo,Porto Velho,Extremo,0,Brasileiro D,Nacional Fast Clube,AM,£225,£0,£30,19
917,248311,Elvis Marley Aparecido Bittencourt,América RN,Extremo,0,Brasileiro D,América Futebol Clube-RN,M/AM,£23k,£37k,£684,28
918,330709,Geovani Cortes Gomes,América RN,Extremo,0,Brasileiro D,Bangu Atlético Clube,AM,£3k,£4k,£180,27
919,-89797,Luan Gabriel Suzarte Pereira,Caldense,Extremo,0,Brasileiro D,Esporte Clube Vitória,AM,£11k,£72k,£281,19
920,449759,Daniel Goncalves Batista,Juventude MA,Extremo,0,Brasileiro D,Sociedade Esportiva Juventude,AM,£225,£13k,£63,20
921,-191500,Moises Barros dos Santos,Brasiliense,Extremo,0,Brasileiro D,Brasiliense Futebol Clube,"AM , ST",£13k,£11k,£421,26
922,435012,Ivanilson Barbosa Chaul,Fast Clube,Extremo,0,Brasileiro D,Manaus Futebol Clube,"AM , ST",£2k,£2k,£109,24
923,351323,Ygor de Almeida Vasconcelos,São Raimundo RR,Extremo,0,Brasileiro D,São Raimundo Esporte Clube-RR,AM,£225,£0,£25,27
924,352047,Rian Ferreira Almeida,São Raimundo RR,Extremo,0,Brasileiro D,São Raimundo Esporte Clube-RR,"M/AM , ST",£225,£0,£24,27
925,120628,Julio Cesar Ferrari,Treze,Extremo,0,Brasileiro D,Treze Futebol Clube,D/WB,£2k,£2k,£127,31
926,-75468,Mauro Brito do Rosario,Paragominas,Extremo,0,Brasileiro D,Bragantino Clube do Pará,ST,£225,£0,£40,26
927,-72558,Jose Luciano da Silva dos Santos,Murici,Extremo,0,Brasileiro D,Associação Atlética Coruripe,M,£214,£0,£27,24
928,447428,Douglas Pires da Rosa,Aimoré,Extremo,0,Brasileiro D,Associação Atlética Portuguesa-RJ,"AM , ST",£2k,£1k,£137,25
929,-165001,Chrystian Amaral Barletta de Almeida,Joinville,Extremo,0,Brasileiro D,Esporte Clube Bahia,AM,£225,£19k,£45,19
930,-112961,Paulo Victor Ferreira de Jesus,Joinville,Extremo,0,Brasileiro D,Joinville Esporte Clube,ST,£450,£0,£45,19
931,-111967,Carlos Eduardo Bastos dos Santos,Bahia de Feira,Extremo,0,Brasileiro D,Associação Desportiva Bahia de Feira,M/AM,£225,£0,£30,20
932,435105,Victor Leandro Silva Miranda,Atlético Alagoinhas,Extremo,0,Brasileiro D,Alagoinhas Atlético Clube,AM,£15k,£28k,£450,30
933,257381,Rafael de Souza Rodolfo,Uberlândia,Extremo,0,Brasileiro D,Associação Atlética Portuguesa-RJ,AM,£1k,£1k,£115,27
934,81882,Cicero dos Santos,Brasiliense,Extremo,0,Brasileiro D,Santa Cruz Futebol Clube,"M , AM",£299k,£300m,£4k,32
935,257333,Maicon Assis de Brito,Brasiliense,Extremo,0,Brasileiro D,Brasiliense Futebol Clube,"M/AM , ST",£46k,£81k,£1k,30
936,301020,Lucas Vinicius Ferreira da Silva,Brasiliense,Extremo,0,Brasileiro D,Brasiliense Futebol Clube,"AM , ST",£9k,£8k,£333,29
937,-206783,Diogo Araujo Barbosa,Tocantinópolis,Extremo,0,Brasileiro D,Tocantinópolis Esporte Clube,"AM , ST",£0,£0,£25,33
938,-50892,Lailson Goncalves Tavares,Esportivo,Extremo,0,Brasileiro D,Clube do Remo,M/AM,£2k,£15k,£137,22
939,-39296,Kelvin Giacobe Alves dos Santos,Caxias,Extremo,0,Brasileiro D,Esporte Clube São José-RS,AM,£11k,£14k,£317,22
940,307293,Juliano Alexandre Borges,Caxias,Extremo,0,Brasileiro D,Esporte Clube São José-RS,D/WB/M/AM,£7k,£6k,£225,25
941,112214,Marcos Paulo Nunes Barros,Campinense,Extremo,0,Brasileiro D,Campinense Clube,ST,£203,£0,£71,30
942,-68833,Vagner da Silva Junior,Boa,Extremo,0,Brasileiro D,Londrina Esporte Clube,AM,£118,£0,£31,21
943,-68912,Roberto Badermann Rebechi,Gama,Extremo,0,Brasileiro D,Clube Atlético Tubarão,"D/WB/M , AM",£32k,£39k,£653,20
944,-39438,Bruno Humberto Bezerra dos Santos,Palmas,Extremo,0,Brasileiro D,Palmas Futebol e Regatas,"AM , ST",£225,£0,£54,27
945,435100,Erick Moreira Caetano,Rio Branco ES,Extremo,0,Brasileiro D,Vitória Futebol Clube-ES,ST,£1k,£1k,£92,25
946,439463,Joao Paulo Souza da Silva,Rio Branco ES,Extremo,0,Brasileiro D,Vitória Futebol Clube-ES,AM,£4k,£7k,£144,25
947,187924,Cassiano Elias dos Santos,Sousa,Extremo,0,Brasileiro D,Independente Atlético Clube,ST,£3k,£5k,£127,30
948,450058,Rogerio Jose da Silva,Central,Extremo,0,Brasileiro D,Treze Futebol Clube,AM,£2k,£2k,£137,24
949,-80376,Julio Vitor Souza Ferreira,Ferroviária,Extremo,0,Brasileiro D,Associação Ferroviária de Esportes,ST,£225,£5k,£54,19
950,319697,Caio Ribeiro de Carvalho,Caldense,Extremo,0,Brasileiro D,Associação Atlética Caldense,D/WB,£191,£0,£42,23
951,329768,Anderson Rodrigues da Luz,Marcílio Dias,Extremo,0,Brasileiro D,Clube Náutico Marcílio Dias,AM,£13k,£10k,£354,25
952,471823,Pablo Alves de Lima,Juventus Jaraguá,Extremo,0,Brasileiro D,Esporte Clube São Bento-SP,AM,£5k,£4k,£225,21
953,170889,Robert Geannine de Souza Campos,Aparecidense,Extremo,0,Brasileiro D,Associação Atlética Aparecidense,"M , AM",£2k,£2k,£129,28
954,67263,Anderson Soares da Silva,América RN,Meio Campista,650000,Brasileiro D,União Esporte Clube-MT,GK,£1k,£300m,£442,39
955,293148,Joao Henrique Lago Souza,Marcílio Dias,Meio Campista,100000,Brasileiro D,Clube Náutico Marcílio Dias,AM,£25k,£44k,£612,27
956,298737,Romario Henrique Faria,América RN,Meio Campista,0,Brasileiro D,América Futebol Clube-RN,"M/AM , ST",£6k,£3k,£246,26
957,171089,Alex Ricardo Vieira,-,Meio Campista,0,Brasileiro D,Nacional Fast Clube,M/AM,£0,£0,£30,33
958,493809,Luiz Henrique Lima da Silva,Atlético Acreano,Meio Campista,0,Brasileiro D,Atlético Acreano,"DM, M",£6k,£7k,£268,27
959,409022,Edicleber Macedo dos Santos,Paragominas,Meio Campista,0,Brasileiro D,Bragantino Clube do Pará,AM,£225,£0,£27,26
960,301910,Aurelio Paulo Dias de Oliveira,Itabaiana,Meio Campista,0,Brasileiro D,Clube Esportivo Operário Várzea-Grandense,M/AM,£1k,£300m,£115,31
